Team,Man Rate,Zone Rate,Middle Closed Rate,Middle Open Rate
Browns,42.1,53.9,61.5,37.6
Lions,35,59.2,61.1,36.9
Giants,32.6,61.1,60.6,36.5
Steelers,32.6,64.1,59.3,39.2
Broncos,32.5,62.7,49.5,48.2
Ravens,31.3,62.7,58.7,36.7
Bears,30.6,65.2,48.9,47.4
Jets,30.2,63.9,45.8,51.5
Patriots,29.8,66.1,51.3,45.3
Commanders,28.3,64.7,51.4,41.6
Colts,27.7,65,50,44.1
Dolphins,26,68.7,45.9,50.8
Bengals,25.6,67.8,54,41.4
Eagles,23.3,70.4,51.2,45
Buccaneers,23.1,72.4,51.6,46.1
Bills,22.5,71.2,45.8,48.7
Chiefs,19.7,73.6,43.6,52.6
Falcons,19.5,76.7,65.6,31.9
Packers,18.4,77,50.6,46.7
Jaguars,18,77.4,46.8,50.6
Titans,17.7,74.4,45,49
Vikings,17.6,76.3,33.4,62
Texans,17.4,77.8,52.8,44
49ers,16.4,77.4,57,39.1
Cardinals,16.2,75.9,41.3,54.1
Saints,16,76.2,58.7,38.2
Seahawks,15.4,80.6,44.2,53.1
Rams,15.3,79.7,55.1,41.1
Cowboys,14.1,78.9,50.3,46.6
Raiders,14,79.1,55.2,41.5
Panthers,11.8,82.4,52.7,42.8
Chargers,11.8,83,42.1,53.7
